name,label,StationName,MQTT_CLIENT_ID,DeviceNo,project,ProviceNo,city,county,StationNo,type,设备类型,监测类型,manufacturer,town,village,location,灾害类型,建设级别,建设年份,Longitude,Latitude,user
YL00002303000151,龙岩市连城县文亨乡李屋村徐地范全万等4户崩塌,龙岩市连城县文亨乡李屋村徐地范全万等4户崩塌,112303000151,3508251207420201,【普适型】部省322处,350825120742,龙岩市,连城县,350825120742,雨量,普适型,,福建省地质工程勘察院,文亨镇,李屋村,龙岩市连城县文亨乡李屋村徐地范全万等4户,,,,116.8867313,25.64636417,user
WG00002303000154,龙岩市连城县文亨乡李屋村徐地范全万等4户崩塌,龙岩市连城县文亨乡李屋村徐地范全万等4户崩塌,102303000154,3508251207420101,【普适型】部省322处,350825120742,龙岩市,连城县,350825120742,网关,普适型,,福建省地质工程勘察院,文亨镇,李屋村,龙岩市连城县文亨乡李屋村徐地范全万等4户,,,,116.8867313,25.64636417,user
BJ00002303000169,龙岩市连城县姑田镇白莲村新联路陈云跃崩塌,龙岩市连城县姑田镇白莲村新联路陈云跃崩塌,152303000169,3508250200180901,【普适型】部省322处,350825020020,龙岩市,连城县,350825020018,声光喇叭,普适型,,福建省地质工程勘察院,姑田乡,白莲村,龙岩市连城县姑田镇白莲村新联路陈云跃,,,,117.0514844,25.70453841,user
LF00002303000250,龙岩市连城县姑田镇白莲村新联路陈云跃崩塌,龙岩市连城县姑田镇白莲村新联路陈云跃崩塌,122303000250,3508250200180401,【普适型】部省322处,350825020020,龙岩市,连城县,350825020018,裂缝,普适型,,福建省地质工程勘察院,姑田乡,白莲村,龙岩市连城县姑田镇白莲村新联路陈云跃,,,,117.0514844,25.70415888,user
LF00002303000248,龙岩市连城县姑田镇白莲村新联路陈云跃崩塌,龙岩市连城县姑田镇白莲村新联路陈云跃崩塌,122303000248,3508250200180301,【普适型】部省322处,350825020020,龙岩市,连城县,350825020018,裂缝,普适型,,福建省地质工程勘察院,姑田乡,白莲村,龙岩市连城县姑田镇白莲村新联路陈云跃,,,,117.0515622,25.70415888,user
YL00002303000165,龙岩市连城县姑田镇白莲村新联路陈云跃崩塌,龙岩市连城县姑田镇白莲村新联路陈云跃崩塌,112303000165,3508250200180201,【普适型】部省322处,350825020020,龙岩市,连城县,350825020018,雨量,普适型,,福建省地质工程勘察院,姑田乡,白莲村,龙岩市连城县姑田镇白莲村新联路陈云跃,,,,117.0514918,25.70454378,user
WG00002303000145,龙岩市连城县姑田镇白莲村新联路陈云跃崩塌,龙岩市连城县姑田镇白莲村新联路陈云跃崩塌,102303000145,3508250200180101,【普适型】部省322处,350825020020,龙岩市,连城县,350825020018,网关,普适型,,福建省地质工程勘察院,姑田乡,白莲村,龙岩市连城县姑田镇白莲村新联路陈云跃,,,,117.0514918,25.70454378,user
BJ00002303000159,龙岩市连城县四堡镇雾阁村梧岗路邹荣根等8户屋后边坡滑坡,龙岩市连城县四堡镇雾阁村梧岗路邹荣根等8户屋后边坡滑坡,152303000159,1163508250102890000,2024年国债项目-新建,350825010289,龙岩市,连城县,116350825010289,声光喇叭,普适型,,福建省地质工程勘察院,四堡乡,雾阁村,龙岩市连城县四堡镇雾阁村梧岗路邹荣根等19户屋后,,,,116.7042747,25.89723872,user
LF00002303000275,龙岩市连城县四堡镇雾阁村梧岗路邹荣根等8户屋后边坡滑坡,龙岩市连城县四堡镇雾阁村梧岗路邹荣根等8户屋后边坡滑坡,122303000275,3508250102320501,【普适型】部省322处,350825010289,龙岩市,连城县,350825010232,裂缝,普适型,,福建省地质工程勘察院,四堡乡,雾阁村,龙岩市连城县四堡镇雾阁村梧岗路邹荣根等12户屋后,,,,116.7041499,25.89713679,user
LF00002303000274,龙岩市连城县四堡镇雾阁村梧岗路邹荣根等8户屋后边坡滑坡,龙岩市连城县四堡镇雾阁村梧岗路邹荣根等8户屋后边坡滑坡,122303000274,3508250102320401,【普适型】部省322处,350825010289,龙岩市,连城县,350825010232,裂缝,普适型,,福建省地质工程勘察院,四堡乡,雾阁村,龙岩市连城县四堡镇雾阁村梧岗路邹荣根等11户屋后,,,,116.7037892,25.8971207,user
